rname	chrom_length	startpos	endpos	numreads	covbases	samtools_raw_coverage_pct	meandepth	meanbaseq	meanmapq	computed_coverage_fraction_pct
chr1	248956422	1	248956422	25311780	229096497	92.0227	15.1876	255	54.2	92.02273038773026
chr2	242193529	1	242193529	25526707	239943816	99.0711	15.67	255	57.2	99.07110936890473
chr3	198295559	1	198295559	26023483	197868478	99.7846	19.6363	255	58.5	99.78462402176137
chr4	190214555	1	190214555	22968142	189236727	99.4859	17.8716	255	56.3	99.48593418626666
chr5	181538259	1	181538259	12943516	178406335	98.2748	10.5577	255	56.1	98.27478570233507
chr6	170805979	1	170805979	15681783	169808428	99.416	13.7344	255	58.0	99.41597419139525
chr7	159345973	1	159345973	22648184	158459150	99.4435	21.2506	255	57.1	99.4434606765996
chr8	145138636	1	145138636	15851487	144572131	99.6097	16.3411	255	57.5	99.6096800854598
chr9	138394717	1	138394717	13119334	121405443	87.724	14.1727	255	54.1	87.72404440842926
chr10	133797422	1	133797422	10094635	131956051	98.6238	11.0873	255	55.0	98.6237619735304
chr11	135086622	1	135086622	11087227	133811506	99.0561	12.274	255	57.8	99.05607529367342
chr12	133275309	1	133275309	13986079	132722071	99.5849	15.6907	255	58.2	99.58489085176309
chr13	114364328	1	114364328	10546539	97769504	85.4895	13.7988	255	55.2	85.48951033052894
chr14	107043718	1	107043718	9368146	88324197	82.5123	13.0729	255	58.6	82.51226568942607
chr15	101991189	1	101991189	7546859	84266863	82.6217	11.0554	255	55.1	82.6217086262226
chr16	90338345	1	90338345	8846767	81626133	90.356	14.5772	255	52.1	90.35601991601683
chr17	83257441	1	83257441	9373805	82084785	98.5915	16.6372	255	55.4	98.59153009518992
chr18	80373285	1	80373285	5765740	79447358	98.848	10.7209	255	55.3	98.84796670933632
chr19	58617616	1	58617616	6230382	55731919	95.0771	15.8243	255	58.2	95.07708228870993
chr20	64444167	1	64444167	9807696	63572497	98.6474	22.5567	255	55.2	98.6474027975255
chr21	46709983	1	46709983	5285141	37906884	81.1537	16.7007	255	43.6	81.15370968985367
chr22	50818468	1	50818468	5722928	36968581	72.7464	16.7563	255	55.3	72.74635079514795
chrX	156040895	1	156040895	10432202	154230697	98.8399	9.99724	255	56.1	98.83992077846003
chrY	57227415	1	57227415	589402	1628275	2.84527	0.969995	255	11.8	2.8452709247831653
chrM	16569	1	16569	2230311	16569	100.0	19869.8	255	56.4	100.0
chr1_KI270706v1_random	175055	1	175055	36608	175055	100.0	31.2292	255	36.0	100.0
chr1_KI270707v1_random	32032	1	32032	6303	31916	99.6379	29.2059	255	37.1	99.63786213786214
chr1_KI270708v1_random	127682	1	127682	22176	127647	99.9726	25.6633	255	44.0	99.97258814868188
chr1_KI270709v1_random	66860	1	66860	168171	66853	99.9895	374.572	255	15.5	99.98953036195034
chr1_KI270710v1_random	40176	1	40176	8615	40166	99.9751	32.1346	255	40.3	99.97510951812028
chr1_KI270711v1_random	42210	1	42210	9616	41968	99.4267	34.1537	255	22.3	99.42667614309406
chr1_KI270712v1_random	176043	1	176043	25547	174967	99.3888	20.9892	255	25.8	99.3887856944042
chr1_KI270713v1_random	40745	1	40745	8504	40401	99.1557	31.2925	255	32.8	99.15572462878882
chr1_KI270714v1_random	41717	1	41717	7662	41702	99.964	27.4654	255	35.1	99.96404343552989
chr2_KI270715v1_random	161471	1	161471	19859	159706	98.9069	18.3478	255	8.61	98.9069244632163
chr2_KI270716v1_random	153799	1	153799	14940	134285	87.312	14.3747	255	7.46	87.31201113141178
chr3_GL000221v1_random	155397	1	155397	43758	154203	99.2316	42.108	255	12.7	99.23164539855982
chr4_GL000008v2_random	209709	1	209709	48850	209538	99.9185	31.2517	255	28.5	99.91845843526029
chr5_GL000208v1_random	92689	1	92689	14991	91407	98.6169	24.0918	255	34.1	98.61688010443527
chr9_KI270717v1_random	40062	1	40062	4079	39403	98.355	15.1791	255	16.3	98.35504967300685
chr9_KI270718v1_random	38054	1	38054	6576	37535	98.6361	25.3396	255	13.0	98.63614863089293
chr9_KI270719v1_random	176845	1	176845	30851	176028	99.538	26.119	255	31.1	99.53801351465972
chr9_KI270720v1_random	39050	1	39050	7536	39046	99.9898	28.7288	255	44.2	99.98975672215109
chr11_KI270721v1_random	100316	1	100316	5059	95302	95.0018	7.56357	255	4.56	95.00179432991746
chr14_GL000009v2_random	201709	1	201709	46735	201252	99.7734	34.6078	255	30.9	99.77343598946999
chr14_GL000225v1_random	211173	1	211173	297670	208739	98.8474	189.951	255	19.2	98.84739052814517
chr14_KI270722v1_random	194050	1	194050	26865	193954	99.9505	20.5276	255	45.7	99.95052821437774
chr14_GL000194v1_random	191469	1	191469	33078	176730	92.3021	25.6871	255	26.2	92.30214812841766
chr14_KI270723v1_random	38115	1	38115	13199	38113	99.9948	49.3398	255	35.5	99.99475272202545
chr14_KI270724v1_random	39555	1	39555	12593	39554	99.9975	46.251	255	39.3	99.99747187460498
chr14_KI270725v1_random	172810	1	172810	26798	172732	99.9549	23.2053	255	35.1	99.95486372316417
chr14_KI270726v1_random	43739	1	43739	757	16016	36.6172	2.38028	255	20.3	36.61720661194814
chr15_KI270727v1_random	448248	1	448248	29341	416048	92.8165	9.79419	255	10.5	92.8164765933144
